START;END_;Tipo;Label;Nombre;Variantes;Entidad_ID;Nivel
1527;1799;Audiencia Real;Santo Domingo;Santo Domingo;Santo Domingo @;AUSD0000;Principal
1527;1808;Obispado;Tlaxcala;Tlaxcala;Puebla @ Tlaxcala, Puebla;OBNEPU00;Obispado
1528;1808;Partido;Chontalapa;Chontalapa;Chontalapa @;PTNETBCH;Partido
1528;1808;Partido;La Sierra;La Sierra;La Sierra @;PTNETBSI;Partido
1528;1808;Partido;Rios;Rios de Usumacinta;Rios de Usumacinta @;PTNETBRI;Partido
1529;1530;Alcaldia Mayor;Antequera;Antequera;Antequera @;JUNEOAAN;Jurisdiccion
1529;1530;Alcaldia Mayor;Antequera;Antequera;Antequera @;JUNEOAAN;Provincia_menor
1529;1530;Jurisdiccion;Michoacan;Michoacan;Valladolid @ Michoacan @ Mechoacan @ Tzintzuntzan @ Patzcuaro @ Valladolid y Patzcuaro @ Pasquaro @ Valladolid, Patzcuaro, Jaso y Teremendo;JUNEMIVA;Jurisdiccion
1529;1530;Jurisdiccion;Michoacan;Michoacan;Valladolid @ Michoacan @ Mechoacan @ Tzintzuntzan @ Patzcuaro @ Valladolid y Patzcuaro @ Pasquaro @ Valladolid, Patzcuaro, Jaso y Teremendo;JUNEMIVA;Provincia_menor
1529;1533;Alcaldia Mayor;Taxco;Taxco;Taxco @ Tasco @ Taxco e Iguala @ Real de minas de Taxco;JUNEMXTA;Jurisdiccion
1529;1533;Alcaldia Mayor;Taxco;Taxco;Taxco @ Tasco @ Taxco e Iguala @ Real de minas de Taxco;JUNEMXTA;Provincia_menor
1529;1573;Marquesado;El Valle;El Valle;Marquesado del Valle @;SENEMV00;Provincia_menor
1529;1573;Marquesado;El Valle;El Valle;Marquesado del Valle @;SENEMV00;Senorio
1529;1598;Alcaldia Mayor;Villa Rica;Villa Rica;La Antigua @ La Antigua @ Mizantla @ Veracruz Vieja @ Veracruz Antigua;JUNEVCVA;Jurisdiccion
1529;1598;Alcaldia Mayor;Villa Rica;Villa Rica;La Antigua @ La Antigua @ Mizantla @ Veracruz Vieja @ Veracruz Antigua;JUNEVCVA;Provincia_menor
1529;1599;Alcaldia Mayor;Zapotecas;Zapotecas;Villa Alta @ Villalta @ Zapotecas;JUNEOAVA;Jurisdiccion
1529;1599;Alcaldia Mayor;Zapotecas;Zapotecas;Villa Alta @ Villalta @ Zapotecas;JUNEOAVA;Provincia_menor
1529;1786;Alcaldia Mayor;Tehuantepec;Tehuantepec;Tehuantepec @ Tehuantepeque @ Teguantepec @ Teguantepeque @ Tegoantepec;JUNEOATT;Jurisdiccion
1529;1786;Alcaldia Mayor;Tehuantepec;Tehuantepec;Tehuantepec @ Tehuantepeque @ Teguantepec @ Teguantepeque @ Tegoantepec;JUNEOATT;Partido
1529;1786;Alcaldia Mayor;Tehuantepec;Tehuantepec;Tehuantepec @ Tehuantepeque @ Teguantepec @ Teguantepeque @ Tegoantepec;JUNEOATT;Provincia_menor
1529;1808;Alcaldia Mayor;Cuernavaca;Cuernavaca;Cuernavaca @;JUNEMXCV;Jurisdiccion
1529;1808;Alcaldia Mayor;Cuernavaca;Cuernavaca;Cuernavaca @;JUNEMXCV;Partido
1529;1808;Alcaldia Mayor;Cuernavaca;Cuernavaca;Cuernavaca @;JUNEMXCV;Provincia_menor
1530;1545;Obispado;Mexico;Mexico;Mexico @;OBNEMX00;Obispado
1531;1532;Corregimiento;Hueytlalpan;Teutalpa e Iztepec;Zacatlan de las Manzanas @ Gueytlalpa @ Teutalpa e Iztepec @ Hueytlalpan;JUNEPUZM;Jurisdiccion
1531;1537;Corregimiento;Cuctlaxohuapan;Cuctlaxohuapan;Puebla @ Los Angeles @ Cuctlaxohuapan;JUNEPUPU;Jurisdiccion
1531;1540;Corregimiento;Calpan;Calpan;Calpan @;JCNEPUCA;Jurisdiccion
1531;1541;Alcaldia Mayor;Toluca;Toluca;Toluca @;JUNEMXTO;Jurisdiccion
1531;1542;Corregimiento;Axacuba;Axacuba;Axacuba @;JCNEMXAX;Jurisdiccion
1531;1550;Corregimiento;Tzintzuntzan;Tzintzuntzan;Valladolid @ Michoacan @ Mechoacan @ Tzintzuntzan @ Patzcuaro @ Valladolid y Patzcuaro @ Pasquaro @ Valladolid, Patzcuaro, Jaso y Teremendo;JUNEMIVA;Jurisdiccion
1531;1550;Corregimiento;Tzintzuntzan;Tzintzuntzan;Valladolid @ Michoacan @ Mechoacan @ Tzintzuntzan @ Patzcuaro @ Valladolid y Patzcuaro @ Pasquaro @ Valladolid, Patzcuaro, Jaso y Teremendo;JUNEMIVA;Provincia_menor
1531;1551;Corregimiento;Antequera;Antequera;Antequera @;JUNEOAAN;Jurisdiccion
1531;1551;Corregimiento;Antequera;Antequera;Antequera @;JUNEOAAN;Provincia_menor
1531;1551;Corregimiento;Teposcolula;Teposcolula;Teposcolula @ Teposcolula y Yanguitlan @ Teposcolula y Anguitlan @ Teposcolula y Yanhuitlan;JUNEOATP;Jurisdiccion
