OficialID;foreignkey;prefix;prefixurl
1395;blincis;cathie;https://www.catholic-hierarchy.org/bishop/
1396;19313;GCath;
1396;balmog;cathie;https://www.catholic-hierarchy.org/bishop/
1397;19314;GCath;
1397;bvilp;cathie;https://www.catholic-hierarchy.org/bishop/
1398;19315;GCath;
1398;bdeocampo;cathie;https://www.catholic-hierarchy.org/bishop/
1399;19316;GCath;
1399;89627303;viaf;https://viaf.org/viaf/
1399;bmogr;cathie;https://www.catholic-hierarchy.org/bishop/
1400;19317;GCath;
1400;bgola;cathie;https://www.catholic-hierarchy.org/bishop/
1401;19319;GCath;
1401;bnavmv;cathie;https://www.catholic-hierarchy.org/bishop/
1402;19320;GCath;
1402;bdemoxo;cathie;https://www.catholic-hierarchy.org/bishop/
1403;19321;GCath;
1403;bsalb;cathie;https://www.catholic-hierarchy.org/bishop/
1404;19322;GCath;
1404;bherboso;cathie;https://www.catholic-hierarchy.org/bishop/
1405;19323;GCath;
1405;barps;cathie;https://www.catholic-hierarchy.org/bishop/
1406;19324;GCath;
1406;bmaag;cathie;https://www.catholic-hierarchy.org/bishop/
1407;19325;GCath;
1407;bberbec;cathie;https://www.catholic-hierarchy.org/bishop/
1408;19327;GCath;
1408;bneco;cathie;https://www.catholic-hierarchy.org/bishop/
1409;19328;GCath;
1409;bpozs;cathie;https://www.catholic-hierarchy.org/bishop/
1410;19329;GCath;
1410;bquei;cathie;https://www.catholic-hierarchy.org/bishop/
1411;Bartolomé González de Póveda;wiki-es;https://es.wikipedia.org/wiki/
1411;19330;GCath;
1411;bgonpov;cathie;https://www.catholic-hierarchy.org/bishop/
1412;19333;GCath;
1412;bvebo;cathie;https://www.catholic-hierarchy.org/bishop/
1413;19334;GCath;
1413;btiedra;cathie;https://www.catholic-hierarchy.org/bishop/
1414;19335;GCath;
1414;bpera;cathie;https://www.catholic-hierarchy.org/bishop/
1415;12590661;viaf;https://viaf.org/viaf/
1415;19336;GCath;
1415;bloso;cathie;https://www.catholic-hierarchy.org/bishop/
1416;19337;GCath;
1416;bramve;cathie;https://www.catholic-hierarchy.org/bishop/
1417;19338;GCath;
1417;bgrana;cathie;https://www.catholic-hierarchy.org/bishop/
1418;14760123;viaf;https://viaf.org/viaf/
1418;19339;GCath;
1418;bsttom;cathie;https://www.catholic-hierarchy.org/bishop/
1419;19502;GCath;
1419;bmapi;cathie;https://www.catholic-hierarchy.org/bishop/
1420;19622;GCath;
1420;bderios;cathie;https://www.catholic-hierarchy.org/bishop/
1421;Pedro Moya;wiki-es;https://es.wikipedia.org/wiki/
1421;19653;GCath;
